oekobaudatProcessUuid;oekobaudatDatastockUuid;oekobaudatDatastockName;productId;tBaustoffVersion;productName;eolCategoryId;eolCategoryName;eolScenarioUnbuiltReal;eolScenarioUnbuiltPotential;technologyFactor
18563fde-e042-4c4f-9a28-01de646ea9ef;ca70a7e6-0ea4-4e90-a947-d44585783626;OBD_2024_I;15;2024-Q4;Naturbims KÃ¶rnung;11;Bims / BlÃ¤hschÃ¼ttung;Dep+;RC+;0.75
355dbd58-78dc-45cc-be8a-43d66d117e15;ca70a7e6-0ea4-4e90-a947-d44585783626;OBD_2024_I;234;2024-Q4;PIR Hartschaum (250 kg/mÂ³);111;KSTDÃ¤mm (PUR, PIR);EB;SV;0.25
fb5aca98-636a-4dcb-b0dd-9ed09117486e;ca70a7e6-0ea4-4e90-a947-d44585783626;OBD_2024_I;293;2024-Q4;Stahl warmgewalzte Bleche (2-20mm);127;Stahl - Stahlblech;CL+;CL+;1.0
f00557bd-5b73-4624-8c7b-834db8e8b106;ca70a7e6-0ea4-4e90-a947-d44585783626;OBD_2024_I;269;2024-Q4;Schnittholz Fichte;6;Holz - massiv, naturbelassen;RC+;CL+;0.75
5b1356cc-f9f5-46d8-b8ae-21d0a426baf4;ca70a7e6-0ea4-4e90-a947-d44585783626;OBD_2024_I;17;2024-Q4;Bimssand;11;Bims / BlÃ¤hschÃ¼ttung;Dep+;RC+;0.75
1e56bbe7-38f8-40a5-817b-8fa10c56a66e;ca70a7e6-0ea4-4e90-a947-d44585783626;OBD_2024_I;231;2024-Q4;Pfosten/Riegelsystem aus Stahl;110;Alu-Pfosten-Riegel-Konstr. ungedÃ¤mmt;RC+;RC+;1.0
5618689c-57a8-4860-85d3-7403ad5ba201;ca70a7e6-0ea4-4e90-a947-d44585783626;OBD_2024_I;305;2024-Q4;Steinzeugfliesen glasiert;128;Keramik - Boden;RC-;RC-;1.0
dad163a2-a15b-48e0-a763-6142445b5d42;ca70a7e6-0ea4-4e90-a947-d44585783626;OBD_2024_I;25;2024-Q4;BlÃ¤hglas KÃ¶rnung;11;Bims / BlÃ¤hschÃ¼ttung;Dep+;RC+;0.75
f18ac191-cfcc-4068-a6c5-38ba25442d9b;ca70a7e6-0ea4-4e90-a947-d44585783626;OBD_2024_I;230;2024-Q4;Pfosten/Riegel aus Aluminium;110;Alu-Pfosten-Riegel-Konstr. ungedÃ¤mmt;RC+;RC+;1.0
17bcb2ce-39fd-400b-baf9-370c63589efd;ca70a7e6-0ea4-4e90-a947-d44585783626;OBD_2024_I;268;2024-Q4;Schnittholz Eiche;6;Holz - massiv, naturbelassen;RC+;CL+;0.75
e3dce4ce-b205-41b0-a033-ca8c6b1eaed0;ca70a7e6-0ea4-4e90-a947-d44585783626;OBD_2024_I;28;2024-Q4;BlÃ¤hschiefer;11;Bims / BlÃ¤hschÃ¼ttung;Dep+;RC+;0.75
52ac8701-d612-4cc9-8037-b2dc2a293a8c;ca70a7e6-0ea4-4e90-a947-d44585783626;OBD_2024_I;236;2024-Q4;Polyethylen-Schaum;109;KSTDÃ¤mm (PE);EV-;EV-;0.0
91935678-1a09-43e0-8a84-294522407ac3;ca70a7e6-0ea4-4e90-a947-d44585783626;OBD_2024_I;306;2024-Q4;Steinzeugfliesen unglasiert;128;Keramik - Boden;RC-;RC-;1.0
67c9d57a-872a-4614-8be8-37ecaf9952e4;ca70a7e6-0ea4-4e90-a947-d44585783626;OBD_2024_I;29;2024-Q4;BlÃ¤hton KÃ¶rnung;11;Bims / BlÃ¤hschÃ¼ttung;Dep+;RC+;0.75
909a1f8a-00d8-436f-86f9-77e0ee840a88;ca70a7e6-0ea4-4e90-a947-d44585783626;OBD_2024_I;264;2024-Q4;Schiefer, unhandelt;108;Stein unbehandelt;CL+;CL+;1.0
67b6c807-3924-4bc5-b983-6aeff6537e45;ca70a7e6-0ea4-4e90-a947-d44585783626;OBD_2024_I;267;2024-Q4;Schnittholz Buche ;6;Holz - massiv, naturbelassen;RC+;CL+;0.75
8ac5659c-5918-41bb-966d-91efdd6c4e50;ca70a7e6-0ea4-4e90-a947-d44585783626;OBD_2024_I;33;2024-Q4;BlÃ¤hton Sand;11;Bims / BlÃ¤hschÃ¼ttung;Dep+;RC+;0.75
