productName,UUID,S0,S1,S2,S3,S4
Voranstrich (Silikat-Dispersion),27370a17-b4fe-45f8-9d9d-71f265311c2e,0.965,0.15,0.46,0.405,0.015
Gussteile aus Aluminium,d9bfad25-c581-4fe3-b5e3-171ddb59c808,0.93,0.005,0.645,0.265,0.025
Kalkfarbe,198223f3-acee-40be-93bb-0e7b365cacfc,0.965,0.15,0.46,0.405,0.015
Harnstoff-Formaldehydharz Ortschaum,fabfbacc-f5ac-4283-8ffa-0d50765ddcfd,0.645,0.04,0.26,0.35,0.3
Stahlprofil verzinkt,42de525f-7c48-4722-b503-6f423b39b4f4,0.88,0.0,0.95,0.025,0.005
Glasbausteine,c92470df-8c3d-4586-904e-53801844edf5,0.94,0.15,0.56,0.645,0.095
Flachsvlies (mit Flammschutzmittel),b7b7c6be-122f-48d9-b1c2-9b81a6b7e95c,1.0,0.0,0.02,0.975,0.0
Trockenestrich (Gipsfaserplatte),94b1c5c8-659a-4585-b0a2-4a4ffc2a64f6,0.155,0.92,0.98,0.985,0.06
Gipsputz (innen),7e0c008a-009d-4357-92c1-afb2cec3bc0a,0.915,0.215,0.58,0.67,0.14
Gipskartonplatte (Feuerschutz),46c055f0-84a2-423b-ae82-5264886e51ad,0.985,0.975,0.995,0.975,0.965
Gips-Kalk-Putz auf Gipsbaustoff,004f3f4e-5bb8-4d9e-a104-6999a9e8ad5b,0.915,0.215,0.58,0.67,0.14
Gipskartonplatte (imprÃ¤gniert),deeb0bda-20fa-412a-b945-1a589638db21,0.985,0.975,0.995,0.975,0.965
"Textile FuÃbodenbelÃ¤ge mehrschichtiges Nadelvlies (Teppichboden, 1400 g/mÂ²)",2aca59c3-5947-43ca-af88-e6ae6366ce3f,1.0,0.0,0.07,0.9,0.0
Gipskartonplatte (Lochplatte),edec09e1-c56e-4655-a094-c9a18e1563ac,0.985,0.975,0.995,0.975,0.965
"Getuftete Teppichfliesen (PA 6), LC3",2fbd1f22-2a0d-4dfb-bfa6-52a861d320f2,1.0,0.0,0.57,0.42,0.0
Gipswandbauplatte (100 mm),7b69e7b4-68dd-49a3-b2dc-ae608b66eece,0.985,0.975,0.995,0.975,0.965
Folie fÃ¼r GrÃ¼ndach,a0978051-8b63-44ea-973c-cc9340887458,0.635,0.04,0.21,0.44,0.31
Trockenestrich (Gipskartonplatte),f4ef6362-85e1-4aac-b263-d954d1acbcd1,0.985,0.975,0.995,0.975,0.965
Folie aus Polytetrafluorethylen PTFE,7bb20bbf-173c-4d5b-9638-177ff4014789,0.635,0.04,0.21,0.44,0.31
Acetyliertes Holz ,0dec19c7-53db-4cb9-bbba-4d44d3da62a9,0.945,0.46,0.625,0.26,0.49
Fliesenkleber,8a115164-6717-4aec-84b1-f79b0b1a947b,0.96,0.155,0.215,0.455,0.015
Gipsfaserplatte,1b0a3488-9b02-4c98-b421-8c746d350f97,0.155,0.92,0.98,0.985,0.06
Hanfvlies mit Flammschutzmittel,9a9f76b6-54f0-421e-9f8a-6a5db3a22e1d,1.0,0.0,0.02,0.975,0.0
Innenfarbe Dispersionsfarbe scheuerfest,b0b25f5c-0982-4f75-b75b-bb28f5807b64,0.965,0.15,0.46,0.405,0.015
FlÃ¼ssigkunststoffe zur Bauwerksabdichtung auf SMP-Basis,2676fb36-11ba-495a-90bd-fa914d6e949f,0.96,0.155,0.215,0.455,0.015
Kies 2/32 getrocknet,a7bad3b6-2123-483b-99b5-2ec481254be7,1.0,0.0,0.0,0.0,0.0
EpoxidharzmÃ¶rtel,625ab4fe-4c34-4f60-8259-3bc8ebdd119a,0.995,0.0,0.22,0.695,0.0
KalkputzmÃ¶rtel,ddc96ae4-086c-4033-9e45-c5589f1661ba,0.885,0.28,0.605,0.605,0.14
"Reaktionsharz auf Polyurethan-Basis, wÃ¤ssrig, lÃ¶semittelfrei",e23fcf3f-c4a6-4e45-a97b-e5db88aa5fa0,0.995,0.0,0.22,0.695,0.0
Kalkzement PutzmÃ¶rtel,dca9f05c-036b-40e5-ae81-c957c2420fd8,0.885,0.28,0.605,0.605,0.14
Reaktionsharz auf Methacrylatharzbasis,374ca550-9556-4a9c-9de5-a9cb80b8b8f1,0.995,0.0,0.22,0.695,0.0
"Reaktionsharz auf Epoxidharzbasis, gefÃ¼llt",5916a356-69a8-457e-9b54-1232d6af5da9,0.995,0.0,0.22,0.695,0.0
KalkzementmÃ¶rtel,af98c17b-b748-4d08-b5d5-9ff028ae7f25,0.885,0.28,0.605,0.605,0.14
"Fliesenkleber, dispersionsbasiert",5908f568-29cd-4387-9816-d3cb1b2cc577,0.995,0.0,0.22,0.695,0.0
Kleber fÃ¼r Gipsplatten,2deb4078-5323-4785-ad2a-913eb66dcf5d,0.885,0.28,0.605,0.605,0.14
Fassadenfarbe Voranstrich Silikat-Dispersion,b1964649-fd26-49d3-9aca-464fe807f2b2,0.965,0.15,0.46,0.405,0.015
EinblasdÃ¤mmung Mineralwolle Rho 50 kg/mÂ³,7395adfa-2a3f-43f1-be88-5d4a392968a5,0.995,0.01,0.54,0.34,0.005
ZementmÃ¶rtel,96171066-34d9-4b33-b1e6-3af1ea11db61,0.885,0.28,0.605,0.605,0.14
